AccessionYear,Object Name,Culture,Dynasty,Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,year,Classification
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Wu Shixian,Chinese,,1916,1816,Paintings
1986,Hanging scroll,China,Qing dynasty,Wu Shixian,Chinese,,1916,1903,Paintings
1986,Hanging scroll,China,Qing dynasty,Pu Hua,Chinese,1834,1911,1907,Paintings
1986,Hanging scroll,China,Qing dynasty,Zhang Shanghe,Chinese,1839,1916,1839,Paintings
1986,Hanging scroll,China,Qing dynasty,Jiang Yun,Chinese,1847,1919,1888,Paintings
1986,Hanging scroll,China,Qing dynasty,Huang Shanshou,Chinese,1855,1919,1882,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Ni Tian,Chinese,1855,1919,1901,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Lu Hui,Chinese,1851,1920,1912,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Lu Hui,Chinese,1851,1920,1910,Paintings
1986,Hanging scroll,China,Qing dynasty,Lu Hui,Chinese,1851,1920,1910,Paintings
1986,Hanging scroll,China,Qing dynasty,Lu Hui,Chinese,1851,1920,1894,Paintings
1986,Hanging scroll,China,Qing dynasty,Li Ruiqing,Chinese,1867,1920,1867,Paintings
1986,Hanging scroll,China,Unknown,Wu Deyi,Chinese,,1920,1900,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Wang Zhensheng,Chinese,1842,1922,1900,Paintings
1986,Album leaf,China,Unknown,Chen Hengke,Chinese,1876,1923,1900,Paintings
1986,Hanging scroll,China,Qing dynasty,Chen Hengke,Chinese,1876,1923,1923,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Lin Shu,Chinese,1852,1924,1919,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Lin Shu,Chinese,1852,1924,1921,Paintings
1986,Handscroll,China,Unknown,Lin Shu,Chinese,1852,1924,1914,Paintings
1986,Hanging scroll,China,Unknown,Jin Cheng,Chinese,1878,1926,1900,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Wu Changshuo,Chinese,1844,1927,1900,Paintings
1986,Hanging scroll,China,Qing dynasty,Wu Changshuo,Chinese,1844,1927,1902,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Yang Yi,Chinese,1864,1929,1923,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Wu Guandai,Chinese,1862,1929,1900,Paintings
1986,Hanging scroll,China,Unknown,Wu Guandai,Chinese,1862,1929,1913,Paintings
1986,Hanging scroll,China,Unknown,Zeng Xi,Chinese,1861,1930,1929,Paintings
1986,Hanging scroll,China,Unknown,Zeng Xi,Chinese,1861,1930,1924,Paintings
1986,Hanging scroll,China,Unknown,Zeng Xi,Chinese,1861,1930,1929,Paintings
1986,Folding fan mounted as an album leaf,China,Republic period,Gu Linshi,Chinese,1865,1930,1921,Paintings
1986,Hanging scroll,China,Unknown,Gu Linshi,Chinese,1865,1930,1921,Paintings
1986,Hanging scroll,China,Unknown,Yao Hua,Chinese,1876,1930,1900,Paintings
1986,Hanging scroll,China,Unknown,Yao Hua,Chinese,1876,1930,1924,Paintings
1986,Hanging scroll,China,Unknown,Gao Qifeng,Chinese,1889,1933,1925,Paintings
1986,Hanging scroll,China,Unknown,Wang Yun,Chinese,1888,1934,1900,Paintings
1986,Album leaf,China,Unknown,Yu Ming,Chinese,1884,1935,1921,Paintings
1986,Hanging scroll,China,Unknown,Yu Ming,Chinese,1884,1935,1928,Paintings
1986,Hanging scroll,China,Unknown,Yu Ming,Chinese,1884,1935,1900,Paintings
1986,Hanging scroll,China,Unknown,Yu Ming,Chinese,1884,1935,1900,Paintings
1986,Hanging scroll,China,Unknown,Wang Zhen,Chinese,1867,1938,1923,Paintings
1986,Hanging scroll,China,Unknown,Wang Zhen,Chinese,1867,1938,1924,Paintings
1986,Hanging scroll,China,Unknown,Cheng Zhang,Chinese,1869,1938,1900,Paintings
1986,Hanging scroll,China,Unknown,Xie Gongzhan,Chinese,1885,1940,1933,Paintings
1986,Hanging scroll,China,Unknown,Xie Gongzhan,Chinese,1885,1940,1900,Paintings
1986,Folding fan,China,Unknown,Guo Lanxiang,Chinese,1865,1938,1931,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Zhuang Yaofu,Chinese,1869,1938,1900,Paintings
1986,Folding fan,China,Unknown,Miu Guying,Chinese,1875,1954,1929,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Hu Tinglu,Chinese,1886,1943,1927,Paintings
1986,Folding fan,China,Unknown,Zhang Shanzi,Chinese,1882,1940,1935,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Zhang Shanzi,Chinese,1882,1940,1935,Paintings
1986,Hanging scroll,China,Unknown,Zhang Shanzi,Chinese,1882,1940,1932,Paintings
1986,Hanging scroll,China,Unknown,Hongyi,Chinese,1880,1942,1900,Paintings
1986,Hanging scroll,China,Unknown,Qi Kun,Chinese,1894,1940,1900,Paintings
1986,Hanging scroll,China,Unknown,Xiao Sun,Chinese,1883,1944,1927,Paintings
1986,Folding fan,China,Unknown,Zhao Shuru,Chinese,1874,1945,1900,Paintings
1986,Hanging scroll,China,Unknown,Zhao Shuru,Chinese,1874,1945,1924,Paintings
1986,Hanging scroll,China,Unknown,Zhao Shuru,Chinese,1874,1945,1924,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Tang Di,Chinese,1878,1948,1900,Paintings
1986,Folding fan,China,Unknown,Tang Di,Chinese,1878,1948,1927,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Tang Di,Chinese,1878,1948,1936,Paintings
1986,Hanging scroll,China,Unknown,Tang Di,Chinese,1878,1948,1900,Paintings
